"","GenoID_RAD","Tag_Date","Tag_ID","Length","Weight","Fin_Clip_Number","Comment","Tank","Treatment","collector","Smolt_Assessment","SA_date","FL","WT","SI_text","SI_code","Tank.1","Tech","SWC_PIT","SWC_mort_14_day","Mort_Date","SWC_Tank","SWC_FL","X48_hr_SWC_mort"
"1034","L13_59","12/8/20","3D6.1D59587C71",123,20.9,1376,NA,8,"EC","jeff","3D6.1D59587C71","4/22/21",181,65.2,"Parr",1,8,"JA",NA,0,NA,NA,NA,NA
"1035","L13_67","12/8/20","3D6.1D5958A6BF",132,24.7,1377,NA,8,"EC","jeff","3D6.1D5958A6BF","4/22/21",214,110.9,"Smolt",3,8,"JA",NA,0,NA,NA,NA,NA
"1036","L13_75","12/8/20","3D6.1D59589C62",116,17.1,1378,NA,8,"EC","jeff","3D6.1D59589C62","4/22/21",203,90.8,"Smolt",3,8,"JA",NA,0,NA,NA,NA,NA
"1039","L13_4","12/8/20","3D6.1D594D7B0A",119,18.2,1381,NA,8,"EC","jeff","3D6.1D594D7B0A","4/22/21",185,74.8,"Smolt",3,8,"JA",NA,0,NA,NA,NA,NA
"1040","L13_12","12/8/20","3D6.1D595905DE",119,18.3,1382,NA,8,"EC","jeff","3D6.1D595905DE","4/22/21",193,80.4,"Smolt",3,8,"JA","3D6.1D595905DE",1,"5/8/21",34,188,0
"1042","L13_28","12/8/20","3D6.1D595928BC",111,14.5,1384,NA,8,"EC","jeff","3D6.1D595928BC","4/22/21",162,50.7,"Parr",1,8,"AM","3D6.1D595928BC",1,"5/7/21",35,164,0
"1043","L13_36","12/8/20","3D6.1D594D7777",101,11.9,1385,NA,8,"EC","jeff","3D6.1D594D7777","4/22/21",164,50.2,"Parr",1,8,"AM","3D6.1D594D7777",1,"5/6/21",34,163,0
"1044","L13_44","12/8/20","3D6.1D59589544",91,8.1,1386,NA,8,"EC","jeff","3D6.1D59589544","4/22/21",129,24.2,"Parr",1,8,"AM","3D6.1D59589544",1,"5/6/21",35,131,0
"1045","L13_52","12/8/20","3D6.1D59591BD3",87,7.4,1387,NA,8,"EC","jeff","3D6.1D59591BD3","4/22/21",129,23.7,"Parr",1,8,"JA","3D6.1D59591BD3",1,"5/4/21",34,127,1
"1047","L13_68","12/8/20","3D6.1D59592173",123,20.5,1389,NA,8,"EC","jeff","3D6.1D59592173","4/22/21",187,72.4,"Parr",1,8,"AM","3D6.1D59592173",1,"5/8/21",34,185,0
"1053","L13_21","12/8/20","3D6.1D59588733",133,24.1,1395,NA,8,"EC","jeff","3D6.1D59588733","4/22/21",210,105.9,"Smolt",3,8,"AM",NA,0,NA,NA,NA,NA
"1056","L13_45","12/8/20","3D6.1D594D8371",104,12.4,1398,NA,8,"EC","jeff","3D6.1D594D8371","4/22/21",180,63.5,"Parr",1,8,"AM","3D6.1D594D8371",1,"5/12/21",34,175,0
