Tag.Date,Tag_ID,Length,Weight,Fin_Clip_Number,Comment,Tank...7,Treatment,collector,Smolt.Assessment,SA.date,FL,WT,SI.text,SI.code,Tank...16,Tech,SWC.PIT,SWC.mort.14.day,Mort.Date,SWC.Tank,SWC.FL,X48.hr.SWC.mort
2020-12-08T00:00:00Z,3D6.1D59586A2B,80,5.5,1597,NA,7,LC,jeff,3D6.1D59586A2B,2021-04-20T00:00:00Z,135,27.1,Parr,1,7,AM,3D6.1D59586A2B,1,2021-05-05T00:00:00Z,35,141,1
2020-12-08T00:00:00Z,3D6.1D5958A16F,96,9,1431,NA,3,LC,jeff,3D6.1D5958A16F,2021-04-21T00:00:00Z,177,57.2,Parr,1,3,JA,3D6.1D5958A16F,1,2021-05-05T00:00:00Z,34,174,1
2020-12-08T00:00:00Z,3D6.1D5959245A,73,4.5,1469,NA,3,LC,jeff,3D6.1D5959245A,2021-04-21T00:00:00Z,111,15.1,Parr,1,3,JA,3D6.1D5959245A,1,2021-05-04T00:00:00Z,35,107,1
2020-12-08T00:00:00Z,3D6.1D5959062A,81,6.3,1477,NA,3,LC,jeff,3D6.1D5959062A,2021-04-21T00:00:00Z,151,34.7,Parr,1,3,JA,3D6.1D5959062A,1,2021-05-06T00:00:00Z,34,150,0
2020-12-08T00:00:00Z,3D6.1D59591D13,76,3.9,502,NA,7,LC,chris,3D6.1D59591D13,2021-04-20T00:00:00Z,115,16,Parr,1,7,AM,3D6.1D59591D13,1,2021-05-04T00:00:00Z,35,116,1
2020-12-08T00:00:00Z,3D6.1D5958A877,82,6.1,415,NA,3,LC,chris,3D6.1D5958A877,2021-04-21T00:00:00Z,165,46.2,Parr,1,3,JA,3D6.1D5958A877,1,2021-05-10T00:00:00Z,34,164,0
2020-12-08T00:00:00Z,3D6.1D59592701,79,5.7,573,NA,7,LC,chris,3D6.1D59592701,2021-04-20T00:00:00Z,141,29.6,Parr,1,7,JA,3D6.1D59592701,1,2021-05-06T00:00:00Z,35,142,0
2020-12-08T00:00:00Z,3D6.1D594D833E,97,6.8,564,NA,7,LC,chris,3D6.1D594D833E,2021-04-20T00:00:00Z,172,56.4,Parr,1,7,AM,3D6.1D594D833E,1,2021-05-08T00:00:00Z,34,169,0
2020-12-08T00:00:00Z,3D6.1D5959156F,87,8.2,554,NA,7,LC,chris,3D6.1D5959156F,2021-04-20T00:00:00Z,162,43.5,Parr,1,7,JA,3D6.1D5959156F,1,2021-05-12T00:00:00Z,35,162,0
2020-12-08T00:00:00Z,3D6.1D5958B0A3,79,5.5,1439,NA,3,LC,jeff,3D6.1D5958B0A3,2021-04-21T00:00:00Z,141,28.6,Parr,1,3,JA,3D6.1D5958B0A3,1,2021-05-05T00:00:00Z,34,140,1
2020-12-08T00:00:00Z,3D6.1D595910FF,67,3.5,435,NA,3,LC,chris,3D6.1D595910FF,2021-04-21T00:00:00Z,92,9.9,Parr,1,3,JA,3D6.1D595910FF,1,2021-05-04T00:00:00Z,35,92,1
